transaction_id,date,ville,type,modele,prix,duree_location_mois
TX00001,2023-09-24,Paris,vente,Audi A4,59523.75,
TX00002,2023-12-11,Marseille,vente,Audi A4,16623.88,
TX00003,2023-05-24,Paris,location,Peugeot 208,1468.1,18
TX00004,2023-02-03,Marseille,location,Peugeot 208,1385.82,6
TX00005,2024-04-05,Paris,location,Tesla Model 3,234.62,46
TX00006,2023-11-07,Marseille,vente,Audi A4,60324.37,
TX00007,2023-07-24,Paris,vente,Mercedes C Class,40841.4,
TX00008,2023-07-10,Marseille,location,Mercedes C Class,1076.57,35
TX00009,2024-01-02,Lyon,location,Renault Clio,323.23,46
TX00010,2023-10-29,Lyon,vente,BMW X3,88745.21,
TX00011,2023-10-01,Paris,vente,Audi A4,23044.16,
TX00012,2023-08-05,Paris,vente,Audi A4,57836.89,
TX00013,2024-01-31,Lyon,location,BMW X3,858.21,34
TX00014,2023-06-17,Paris,vente,Mercedes C Class,73736.31,
TX00015,2023-06-16,Lyon,vente,Audi A4,25037.12,
TX00016,2023-06-25,Paris,vente,Tesla Model 3,64764.36,
TX00017,2023-11-02,Paris,location,Renault Clio,815.15,21
TX00018,2023-09-03,Paris,location,BMW X3,1068.92,8
TX00019,2023-04-14,Marseille,vente,Peugeot 208,64578.13,
TX00020,2024-02-01,Marseille,vente,Peugeot 208,15547.81,
TX00021,2023-01-26,Marseille,vente,Mercedes C Class,74591.48,
TX00022,2023-09-10,Lyon,vente,Mercedes C Class,21762.57,
TX00023,2023-06-30,Lyon,vente,Peugeot 208,77374.85,
TX00024,2023-11-30,Paris,location,Mercedes C Class,728.68,20
TX00025,2023-02-21,Lyon,vente,Mercedes C Class,64787.11,
TX00026,2024-04-24,Lyon,location,Tesla Model 3,1049.17,48
TX00027,2023-05-26,Marseille,vente,Peugeot 208,18032.37,
TX00028,2023-09-12,Lyon,vente,Peugeot 208,61243.02,
TX00029,2024-02-17,Paris,location,Audi A4,550.51,41
TX00030,2023-03-31,Lyon,location,Audi A4,1244.81,12
